neigh,abbr
Andersonville,Andersonville
Bridgeport,Bridgeport
Calumet Heights,Calumet Heights
Chinatown,Chinatown
Englewood,Englewood
Greektown,Greektown
Humboldt Park,Humboldt Park
Hyde Park,Hyde Park
Kenwood,Kenwood
Lincoln Park,Lincoln Park
"Little Italy, UIC","Little Italy, UIC"
Little Village,Little Village
Logan Square,Logan Square
Loop,Loop
Mckinley Park,Mckinley Park
Portage Park,Portage Park
Ukrainian Village,Ukrainian Village
West Loop,West Loop
West Town,West Town
Woodlawn,Woodlawn